t,f,Q,R_over_D,abs_residual
-2.2800000000000002,-0.43425109065684625,-0.43040000000000006,-0.00385109065684619,0.00385109065684619
-2.265,-0.4315382669194638,-0.4277,-0.003838266919463762,0.003838266919463762
-2.25,-0.42882491783760973,-0.425,-0.0038249178376097426,0.0038249178376097426
-2.235,-0.4261110295675255,-0.42229999999999995,-0.003811029567525548,0.003811029567525548
-2.2199999999999998,-0.42339658793075663,-0.4196,-0.0037965879307566563,0.0037965879307566563
-2.205,-0.4206815784096458,-0.4169,-0.003781578409645825,0.003781578409645825
-2.19,-0.41796598614322433,-0.4142,-0.0037659861432243202,0.0037659861432243202
-2.175,-0.4152497959235708,-0.4115,-0.003749795923570831,0.003749795923570831
-2.16,-0.4125329921927064,-0.40880000000000005,-0.0037329921927063414,0.0037329921927063414
-2.145,-0.4098155590401156,-0.4061,-0.003715559040115557,0.003715559040115557
-2.13,-0.4070974802009795,-0.4034,-0.0036974802009795416,0.0036974802009795416
-2.115,-0.404378739055227,-0.40070000000000006,-0.0036787390552269206,0.0036787390552269206
-2.1,-0.4016593186275148,-0.398,-0.003659318627514785,0.003659318627514785
-2.085,-0.3989392015882652,-0.3953,-0.003639201588265195,0.003639201588265195
-2.07,-0.3962183702558999,-0.39259999999999995,-0.0036183702558999498,0.0036183702558999498
-2.055,-0.3934968066004265,-0.3899,-0.0035968066004264942,0.0035968066004264942
-2.04,-0.39077449224854777,-0.3872,-0.003574492248547778,0.003574492248547778
-2.025,-0.38805140849048714,-0.3845,-0.003551408490487129,0.003551408490487129
-2.01,-0.3853275362887404,-0.3818,-0.0035275362887404182,0.0035275362887404182
-1.995,-0.38260285628898644,-0.37910000000000005,-0.003502856288986389,0.003502856288986389
-1.98,-0.3798773488334166,-0.3764,-0.0034773488334166047,0.0034773488334166047
-1.965,-0.3771509939767696,-0.37370000000000003,-0.0034509939767695674,0.0034509939767695674
-1.95,-0.37442377150538286,-0.371,-0.0034237715053828666,0.0034237715053828666
-1.935,-0.37169566095961476,-0.3683,-0.0033956609596147436,0.0033956609596147436
-1.92,-0.3689666416600151,-0.3656,-0.0033666416600151017,0.0033666416600151017
-1.905,-0.3662366927376725,-0.3629,-0.0033366927376725086,0.0033366927376725086
-1.89,-0.36350579316919834,-0.36019999999999996,-0.003305793169198379,0.003305793169198379
-1.875,-0.36077392181686607,-0.3575,-0.0032739218168660877,0.0032739218168660877
-1.86,-0.3580410574744598,-0.3548,-0.0032410574744597964,0.0032410574744597964
-1.845,-0.3553071789194564,-0.3521,-0.003207178919456377,0.003207178919456377
-1.83,-0.3525722649722135,-0.34940000000000004,-0.0031722649722134566,0.0031722649722134566
-1.815,-0.3498362945629007,-0.3467,-0.00313629456290071,0.00313629456290071
-1.8,-0.34709924680698656,-0.34400000000000003,-0.003099246806986533,0.003099246806986533
-1.785,-0.3443611010901563,-0.3413,-0.003061101090156282,0.003061101090156282
-1.77,-0.34162183716361993,-0.3386,-0.0030218371636199226,0.0030218371636199226
-1.755,-0.338881435250852,-0.3359,-0.002981435250852038,0.002981435250852038
-1.74,-0.33613987616688107,-0.3332,-0.0029398761668810725,0.0029398761668810725
-1.725,-0.33339714145134774,-0.3305,-0.002897141451347729,0.002897141451347729
-1.71,-0.3306532135166328,-0.3278,-0.002853213516632813,0.002853213516632813
-1.695,-0.3279080758124496,-0.3251,-0.002808075812449573,0.002808075812449573
-1.68,-0.3251617130083911,-0.3224,-0.0027617130083910646,0.0027617130083910646
-1.665,-0.32241411119600416,-0.31970000000000004,-0.002714111196004121,0.002714111196004121
-1.65,-0.3196652581120491,-0.317,-0.002665258112049096,0.002665258112049096
-1.635,-0.3169151433846786,-0.3143,-0.0026151433846785532,0.0026151433846785532
-1.62,-0.3141637588043188,-0.31160000000000004,-0.00256375880431875,0.00256375880431875
