shape,n_slices,edge,determinant,minus_second_log_det,degenerate
toroidal_bundle,32,4,-98.41899722852106,0.0,False
toroidal_bundle,32,5,-98.41899722852106,0.0,False
toroidal_bundle,32,6,-98.41899722852106,0.0,False
toroidal_bundle,32,7,-98.41899722852106,0.0,False
toroidal_bundle,32,8,-98.41899722852106,0.0,False
toroidal_bundle,32,9,-98.41899722852106,0.0,False
toroidal_bundle,32,10,-98.41899722852106,0.0,False
toroidal_bundle,32,11,-98.41899722852106,0.0,False
toroidal_bundle,32,12,-98.41899722852106,0.0,False
toroidal_bundle,32,13,-98.41899722852106,0.0,False
toroidal_bundle,32,14,-98.41899722852106,0.0,False
toroidal_bundle,32,15,-98.41899722852106,0.0,False
toroidal_bundle,32,16,-98.41899722852106,0.0,False
toroidal_bundle,32,17,-98.41899722852106,0.0,False
toroidal_bundle,32,18,-98.41899722852106,0.0,False
toroidal_bundle,32,19,-98.41899722852106,0.0,False
toroidal_bundle,32,20,-98.41899722852106,0.0,False
toroidal_bundle,32,21,-98.41899722852106,0.0,False
toroidal_bundle,32,22,-98.41899722852106,0.0,False
toroidal_bundle,32,23,-98.41899722852106,0.0,False
toroidal_bundle,32,24,-98.41899722852106,0.0,False
toroidal_bundle,32,25,-98.41899722852106,0.0,False
toroidal_bundle,32,26,-98.41899722852106,0.0,False
toroidal_bundle,32,27,-98.41899722852106,0.0,False
toroidal_bundle,32,28,-98.41899722852106,0.0,False
toroidal_bundle,32,29,-98.41899722852106,0.0,False
toroidal_bundle,32,30,-98.41899722852106,0.0,False
toroidal_bundle,32,31,-98.41899722852106,0.0,False
aircraft_body,8,0,-1228.9644393938265,4.950715237391156,False
aircraft_body,8,1,-26.719112852666903,1.272671562796771,False
aircraft_body,8,2,-7.027445592304007,0.239482997626871,False
aircraft_body,8,3,-4.80830784133521,2.4611120679138466e-31,False
aircraft_body,8,4,-7.0274455923040025,0.239482997626871,False
aircraft_body,8,5,-26.719112852666917,1.2726715627967726,False
aircraft_body,8,6,-1228.9644393938315,4.950715237391162,False
aircraft_body,16,0,-1583.8832546691951,2.679563817695378,False
aircraft_body,16,1,-150.7150529223147,1.042231079330738,False
aircraft_body,16,2,-39.800545397032444,0.4847324061778323,False
aircraft_body,16,3,-16.48574700749923,0.23820407802075633,False
aircraft_body,16,4,-9.032389820773789,0.11231028352407416,False
aircraft_body,16,5,-6.081376756026805,0.044552512935308194,False
aircraft_body,16,6,-4.852071979757469,0.010448391118596367,False
aircraft_body,16,7,-4.508110306553833,0.0,False
aircraft_body,16,8,-4.852071979757469,0.010448391118596367,False
aircraft_body,16,9,-6.081376756026799,0.04455251293530756,False
aircraft_body,16,10,-9.032389820773773,0.11231028352407431,False
aircraft_body,16,11,-16.485747007499217,0.23820407802075755,False
aircraft_body,16,12,-39.80054539703246,0.48473240617783253,False
aircraft_body,16,13,-150.7150529223146,1.0422310793307363,False
aircraft_body,16,14,-1583.8832546692001,2.679563817695386,False
aircraft_body,32,0,-2123.6588378500387,1.0659024974710887,False
aircraft_body,32,1,-543.7787235657223,0.5591618539636036,False
aircraft_body,32,2,-204.3369105675599,0.3358160465854575,False
aircraft_body,32,3,-95.60895890721412,0.2177988990940146,False
