shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_beta,bgk_shift,correction_order,reference_value,raw_discrete_value,corrected_value,rel_error
circle,identity exterior map,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,16,-0.28881438523727193,-0.280959946148006,-0.28881438523727126,2.3064426456038186e-15
circle,identity exterior map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,0,-0.28881438523727193,-0.28488604517227434,-0.28488604517227434,0.013601608042377505
circle,identity exterior map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,1,-0.28881438523727193,-0.28488604517227434,-0.28881326440765437,3.880795676578338e-06
circle,identity exterior map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,2,-0.28881438523727193,-0.28488604517227434,-0.28881438492805284,1.0706499072750775e-09
circle,identity exterior map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,4,-0.28881438523727193,-0.28488604517227434,-0.28881438523727193,0.0
circle,identity exterior map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,8,-0.28881438523727193,-0.28488604517227434,-0.28881438523727176,5.766106614009546e-16
circle,identity exterior map,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,16,-0.28881438523727193,-0.28488604517227434,-0.28881438523727176,5.766106614009546e-16
circle,identity exterior map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,0,-0.28881438523727193,-0.28684993495871935,-0.28684993495871935,0.006801774353928757
circle,identity exterior map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,1,-0.28881438523727193,-0.28684993495871935,-0.28881410495256993,9.70466556827145e-07
circle,identity exterior map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,2,-0.28881438523727193,-0.28684993495871935,-0.2888143851986267,1.3380654025272133e-10
circle,identity exterior map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,4,-0.28881438523727193,-0.28684993495871935,-0.28881438523727265,2.4986461994041367e-15
circle,identity exterior map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,8,-0.28881438523727193,-0.28684993495871935,-0.28881438523727265,2.4986461994041367e-15
circle,identity exterior map,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,16,-0.28881438523727193,-0.28684993495871935,-0.28881438523727265,2.4986461994041367e-15
circle,identity exterior map,2048,32768,0.001,5.960464477539063e-08,0.5825971579390108,0.0001422356342624538,0,-0.28881438523727193,-0.2878320900219895,-0.2878320900219895,0.0034011298103293307
