shape,regularity,n,mode_band,mode,segment_anisotropy,cosecant_action_rel_error,cosecant_repaid_action_rel_error,lag_average_action_rel_error,cosecant_far_kernel_rel_error,lag_average_far_kernel_rel_error,prime_form_far_rel_defect,prime_form_negative_fraction,cosecant_residual_local_fraction,cosecant_setup_ms,lag_average_setup_ms,direct_apply_ms,cosecant_apply_ms,cosecant_repaid_apply_ms,lag_average_apply_ms,dense_matrix_stored
cardioid_cusp,cusp,64,high,15,2.906248791881355,0.3640480734899393,0.015279878490389497,0.3603921289579188,0.20818967356511278,0.19767928247441433,0.22492419813668593,0.0,0.9997652340374497,0.0025420013116672635,0.6021659937687218,0.41149999015033245,0.1463329972466454,0.21683299564756453,0.11487500160001218,False
cardioid_cusp,cusp,128,low,3,4.054839299763931,0.2450479717528322,0.08363068308878506,0.24143316111222154,0.29343627160951485,0.2884193633524509,0.2908790814355058,0.006714876033057851,0.9997860767867439,0.006582995411008596,2.189124992582947,1.5874169912422076,0.27550000231713057,0.3820000129053369,0.19566599803511053,False
cardioid_cusp,cusp,128,high,31,4.054839299763931,0.4981828481686037,0.017245374492411012,0.4961062034271782,0.29343627160951485,0.2884193633524509,0.2908790814355058,0.006714876033057851,0.9997860767867439,0.006582995411008596,2.189124992582947,1.5773750055814162,0.25166600244119763,0.37304199940990657,0.19375000556465238,False
cardioid_cusp,cusp,256,low,3,5.695576261101107,0.3640405619694647,0.10247105218404898,0.36173090849449296,0.3714595481136075,0.36893150599602564,0.3597642608338895,0.01016566265060241,0.9998297287305177,0.0021669984562322497,8.198666997486725,6.265874995733611,0.552166995476,0.7427090022247285,0.38904200482647866,False
cardioid_cusp,cusp,256,high,63,5.695576261101107,0.6374927563163788,0.01860400915654281,0.636349455671271,0.3714595481136075,0.36893150599602564,0.3597642608338895,0.01016566265060241,0.9998297287305177,0.0021669984562322497,8.198666997486725,6.290167002589442,0.5329580017132685,0.7262500002980232,0.3819170087808743,False
square,corners,64,low,3,1.414213562373095,0.24239953067389325,0.15234930699111193,0.19351776732532486,0.28899372128811834,0.2542960331853748,0.22532107078042918,0.0,0.9928706548156819,0.0015419936971738935,0.5432500038295984,0.3830839996226132,0.15033400268293917,0.19520799105521291,0.1086249976651743,False
square,corners,64,high,15,1.414213562373095,0.15453798915733405,0.027792591742717976,0.13231423919469135,0.28899372128811834,0.2542960331853748,0.22532107078042918,0.0,0.9928706548156819,0.0015419936971738935,0.5432500038295984,0.407207990065217,0.14904099225532264,0.1977079955395311,0.10729199857451022,False
square,corners,128,low,3,1.414213562373095,0.23416668554756553,0.18444469160460145,0.1869692089365275,0.233747881837779,0.21784262527241052,0.17900868883252694,0.0,0.9922948944461686,0.0013750104699283838,2.1462090080603957,1.6023749922169372,0.27833400235977024,0.3676249907584861,0.19587500719353557,False
square,corners,128,high,31,1.414213562373095,0.11405726920527355,0.02155673747733261,0.10361761742900208,0.233747881837779,0.21784262527241052,0.17900868883252694,0.0,0.9922948944461686,0.0013750104699283838,2.1462090080603957,1.4600829890696332,0.25024999922607094,0.3734159981831908,0.20112500351388007,False
square,corners,256,low,3,1.414213562373095,0.22913396642764353,0.20297602463839548,0.1822000692456468,0.17694031908819155,0.17036395349770966,0.13448054293425976,0.0,0.9920981668480564,0.0017090060282498598,8.130374990287237,5.95616600185167,0.5217080033617094,0.7421250047627836,0.4842079943045974,False
square,corners,256,high,63,1.414213562373095,0.08281357634179815,0.016313413724015974,0.07808835500648673,0.17694031908819155,0.17036395349770966,0.13448054293425976,0.0,0.9920981668480564,0.0017090060282498598,8.130374990287237,5.904707999434322,0.5181669985176995,0.7625830039614812,0.4718749987659976,False
