shape,family,n,operation,ms,build_ms,work_units_reported,fft_work_units_estimate,generated_q_residual,dense_q_matrix_stored
eccentric_ellipse,closed_form_conic,4096,pde_poisson,8.03149992134422,44.894165941514075,4096,49152,5.947206160698825e-14,False
eccentric_ellipse,closed_form_conic,4096,pde_helmholtz,8.093499927781522,44.894165941514075,4096,49152,5.949982945127085e-14,False
eccentric_ellipse,closed_form_conic,4096,pde_wave,8.132916991598904,44.894165941514075,4096,49152,5.963420112697772e-14,False
eccentric_ellipse,closed_form_conic,4096,q_bgk4,18.514708033762872,0.0,49152,49152,3.590639922314692e-15,False
eccentric_ellipse,closed_form_conic,4096,pde_batch_all5,40.44649994466454,44.894165941514075,20480,245760,3.5714850082971786e-12,False
three_petal,smooth_nonconvex,256,pde_laplace_dtn,0.4734999965876341,2.974832896143198,256,2048,2.6378355132782055e-14,False
three_petal,smooth_nonconvex,256,pde_heat,0.4440000047907233,2.974832896143198,256,2048,6.535229694528463e-15,False
three_petal,smooth_nonconvex,256,pde_poisson,0.43999997433274984,2.974832896143198,256,2048,6.5567993742798864e-15,False
three_petal,smooth_nonconvex,256,pde_helmholtz,0.43995899613946676,2.974832896143198,256,2048,6.5746063977243655e-15,False
three_petal,smooth_nonconvex,256,pde_wave,0.4439579788595438,2.974832896143198,256,2048,6.517710887362198e-15,False
three_petal,smooth_nonconvex,256,q_bgk4,1.4705000212416053,0.0,2048,2048,1.1204030962925498e-15,False
three_petal,smooth_nonconvex,256,pde_batch_all5,2.241416950710118,2.974832896143198,1280,10240,2.6378355132782055e-14,False
three_petal,smooth_nonconvex,512,pde_laplace_dtn,0.9409579215571284,5.6437921011820436,512,4608,6.960672991975155e-14,False
three_petal,smooth_nonconvex,512,pde_heat,0.9185000089928508,5.6437921011820436,512,4608,1.2387223989318853e-14,False
three_petal,smooth_nonconvex,512,pde_poisson,0.900916988030076,5.6437921011820436,512,4608,1.2282178312589265e-14,False
three_petal,smooth_nonconvex,512,pde_helmholtz,0.9042080491781235,5.6437921011820436,512,4608,1.2378406212799454e-14,False
three_petal,smooth_nonconvex,512,pde_wave,0.9284999687224627,5.6437921011820436,512,4608,1.2490605523502077e-14,False
three_petal,smooth_nonconvex,512,q_bgk4,2.925375010818243,0.0,4608,4608,1.3071369456746415e-15,False
