shape,family,problem,n,mode,continuum_rel_error,generated_rel_error,amplitude_real,amplitude_imag,exact_amplitude_real,exact_amplitude_imag,generated_amplitude_real,generated_amplitude_imag,build_ms,solve_ms,work_units,protocol,dense_q_matrix_stored
four_lobed_wiggle,smooth_multiscale,laplace_dtn,2048,7,0.0034179687500029243,5.698439543253525e-13,6.97607421874997,-4.15873586032943e-15,7.0,0.0,6.97607421875,0.0,31.94570809137076,3.985582967288792,2048,borrow_compute_repay_pullback,False
four_lobed_wiggle,smooth_multiscale,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,31.94570809137076,3.9517910918220878,2048,borrow_compute_repay_pullback,False
four_lobed_wiggle,smooth_multiscale,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,31.94570809137076,3.916083020158112,2048,borrow_compute_repay_pullback,False
four_lobed_wiggle,smooth_multiscale,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,31.94570809137076,3.943249932490289,2048,borrow_compute_repay_pullback,False
four_lobed_wiggle,smooth_multiscale,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,31.94570809137076,3.949166042730212,2048,borrow_compute_repay_pullback,False
asymmetric_limaçon,asymmetric,laplace_dtn,2048,7,0.003417968750004464,5.750720342743176e-13,6.97607421874997,-4.158735860329431e-15,7.0,0.0,6.97607421875,0.0,32.34733291901648,4.026917042210698,2048,borrow_compute_repay_pullback,False
asymmetric_limaçon,asymmetric,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,32.34733291901648,3.9352920139208436,2048,borrow_compute_repay_pullback,False
asymmetric_limaçon,asymmetric,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,32.34733291901648,3.930375096388161,2048,borrow_compute_repay_pullback,False
asymmetric_limaçon,asymmetric,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,32.34733291901648,4.014207981526852,2048,borrow_compute_repay_pullback,False
asymmetric_limaçon,asymmetric,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,32.34733291901648,4.008249961771071,2048,borrow_compute_repay_pullback,False
crescent_teardrop,near_cusp_smooth,laplace_dtn,2048,7,0.0034179687500042527,5.744619248322913e-13,6.97607421874997,-4.158735860329431e-15,7.0,0.0,6.97607421875,0.0,33.114584046415985,4.094959003850818,2048,borrow_compute_repay_pullback,False
crescent_teardrop,near_cusp_smooth,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,33.114584046415985,3.9426250150427222,2048,borrow_compute_repay_pullback,False
crescent_teardrop,near_cusp_smooth,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,33.114584046415985,3.8959579542279243,2048,borrow_compute_repay_pullback,False
crescent_teardrop,near_cusp_smooth,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,33.114584046415985,3.9584579644724727,2048,borrow_compute_repay_pullback,False
crescent_teardrop,near_cusp_smooth,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,33.114584046415985,3.9897499373182654,2048,borrow_compute_repay_pullback,False
peanut,pinched_smooth,laplace_dtn,2048,7,0.0034179687500042392,5.819984587267707e-13,6.97607421874997,-4.158735860329432e-15,7.0,0.0,6.97607421875,0.0,32.529624993912876,4.000459099188447,2048,borrow_compute_repay_pullback,False
peanut,pinched_smooth,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,32.529624993912876,3.935083979740739,2048,borrow_compute_repay_pullback,False
peanut,pinched_smooth,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,32.529624993912876,3.920583054423332,2048,borrow_compute_repay_pullback,False
peanut,pinched_smooth,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,32.529624993912876,4.006125032901764,2048,borrow_compute_repay_pullback,False
peanut,pinched_smooth,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,32.529624993912876,3.959708963520825,2048,borrow_compute_repay_pullback,False
high_frequency_gear,smooth_high_frequency,laplace_dtn,2048,7,0.0034179687500038606,5.761546766975248e-13,6.97607421874997,-4.158735860329431e-15,7.0,0.0,6.97607421875,0.0,32.24508394487202,3.9622921030968428,2048,borrow_compute_repay_pullback,False
high_frequency_gear,smooth_high_frequency,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,32.24508394487202,3.919874900020659,2048,borrow_compute_repay_pullback,False
high_frequency_gear,smooth_high_frequency,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,32.24508394487202,3.894750028848648,2048,borrow_compute_repay_pullback,False
high_frequency_gear,smooth_high_frequency,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,32.24508394487202,3.942333976738155,2048,borrow_compute_repay_pullback,False
high_frequency_gear,smooth_high_frequency,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,32.24508394487202,4.029958043247461,2048,borrow_compute_repay_pullback,False
rotated_mixed,complex_coefficients,laplace_dtn,2048,7,0.0034179687500047514,5.801419389654366e-13,6.97607421874997,-4.15873586032943e-15,7.0,0.0,6.97607421875,0.0,43.25179196894169,4.023917019367218,2048,borrow_compute_repay_pullback,False
rotated_mixed,complex_coefficients,heat,2048,7,0.004075665840241466,4.361495888494168e-15,0.30546116828053577,0.0,0.304221264066704,0.0,0.3054611682805371,0.0,43.25179196894169,3.949957899749279,2048,borrow_compute_repay_pullback,False
rotated_mixed,complex_coefficients,poisson,2048,7,0.003265839320700872,4.473466952772953e-15,0.13649875364907496,0.0,0.1360544217687075,0.0,0.13649875364907557,0.0,43.25179196894169,3.922042087651789,2048,borrow_compute_repay_pullback,False
rotated_mixed,complex_coefficients,helmholtz,2048,7,0.00956061739674145,4.368601439145159e-15,0.02859134208007939,-1.6349302184797166e-05,0.028320579982378837,-1.604111015711064e-05,0.028591342080079515,-1.6349302184796153e-05,43.25179196894169,3.9463330758735538,2048,borrow_compute_repay_pullback,False
rotated_mixed,complex_coefficients,wave,2048,7,0.005967432687537257,4.303120535208859e-15,-0.5160083318796763,0.0,-0.5191060623645292,0.0,-0.5160083318796785,0.0,43.25179196894169,3.9357499917969108,2048,borrow_compute_repay_pullback,False
