shape,branch,rank,eigenvalue,log10_eigenvalue,sample_count,requested_lanczos_steps
rounded_square,high,4,31766.274019918088,4.501966277858744,256,124
rounded_square,high,5,30844.3192790288,4.489175189991776,256,124
rounded_square,high,6,30844.31927902879,4.489175189991775,256,124
rounded_square,high,7,30844.31927902865,4.489175189991773,256,124
rounded_square,high,8,29941.462568045717,4.476273010760466,256,124
rounded_square,high,9,29941.462568045663,4.476273010760465,256,124
rounded_square,high,10,29941.46256804548,4.476273010760463,256,124
rounded_square,high,11,29057.366093266322,4.463256245096113,256,124
rounded_square,high,12,29057.366093266224,4.463256245096112,256,124
flower_nonconvex,low_nonzero,1,146.59227134579862,2.1661110739862015,256,124
flower_nonconvex,low_nonzero,2,146.89125169238437,2.1669959315638527,256,124
flower_nonconvex,low_nonzero,3,288.25508103165345,2.459776971281779,256,124
flower_nonconvex,low_nonzero,4,288.93869189742594,2.4608057022886505,256,124
flower_nonconvex,low_nonzero,5,426.33493727067383,2.6297509236444316,256,124
flower_nonconvex,low_nonzero,6,426.48990075177335,2.6299087515651913,256,124
flower_nonconvex,low_nonzero,7,560.0355259000149,2.7482155773865045,256,124
flower_nonconvex,low_nonzero,8,561.952012250138,2.7496992306850987,256,124
flower_nonconvex,low_nonzero,9,690.2178948781251,2.8389862148020018,256,124
flower_nonconvex,low_nonzero,10,695.1602938732537,2.8420849581411143,256,124
flower_nonconvex,low_nonzero,11,822.1603937729958,2.9149565515246767,256,124
flower_nonconvex,low_nonzero,12,823.9595882419674,2.9159059118986907,256,124
flower_nonconvex,high,1,22333.99035897245,4.348966324327987,256,124
flower_nonconvex,high,2,21055.448661315222,4.323364500045404,256,124
flower_nonconvex,high,3,19760.16510625999,4.295790569018719,256,124
flower_nonconvex,high,4,19086.11578565125,4.280717554140326,256,124
flower_nonconvex,high,5,18806.584109878517,4.274309920646146,256,124
flower_nonconvex,high,6,17533.51913074277,4.243869091545986,256,124
flower_nonconvex,high,7,17292.81371520148,4.237865663115793,256,124
flower_nonconvex,high,8,17216.380653486405,4.2359418563260425,256,124
flower_nonconvex,high,9,16843.34780967984,4.226428416781662,256,124
flower_nonconvex,high,10,16098.897655752555,4.206796139484398,256,124
flower_nonconvex,high,11,15798.732790089318,4.198622253768195,256,124
flower_nonconvex,high,12,15707.006769954347,4.196093430924959,256,124
cardioid_one_cusp,low_nonzero,1,301.4179044725459,2.479169046195861,256,124
cardioid_one_cusp,low_nonzero,2,355.0488942220843,2.550288164403452,256,124
cardioid_one_cusp,low_nonzero,3,467.32834719212786,2.6696221252480026,256,124
cardioid_one_cusp,low_nonzero,4,621.767337595334,2.793627904142219,256,124
cardioid_one_cusp,low_nonzero,5,771.8985319287443,2.8875602149475608,256,124
cardioid_one_cusp,low_nonzero,6,959.1379351716105,2.9818810682511683,256,124
cardioid_one_cusp,low_nonzero,7,1155.2707123092914,3.0626837635235677,256,124
cardioid_one_cusp,low_nonzero,8,1236.5305909499875,3.092204864988814,256,124
cardioid_one_cusp,low_nonzero,9,1338.5521178028905,3.126635285521869,256,124
cardioid_one_cusp,low_nonzero,10,1467.1285331628983,3.166468163467076,256,124
cardioid_one_cusp,low_nonzero,11,1608.009200388506,3.206288529279677,256,124
cardioid_one_cusp,low_nonzero,12,1788.8176963702065,3.252566082604985,256,124
cardioid_one_cusp,high,1,63898453.37271094,7.805490346424032,256,124
cardioid_one_cusp,high,2,23491463.434454583,7.370910072618868,256,124
cardioid_one_cusp,high,3,12927747.465322465,7.111522859868619,256,124
cardioid_one_cusp,high,4,6362873.098877461,6.8036532617547145,256,124
cardioid_one_cusp,high,5,4566807.845597902,6.659612738484131,256,124
cardioid_one_cusp,high,6,2811803.4632119797,6.448984961502308,256,124
cardioid_one_cusp,high,7,2237150.170324712,6.349695137406604,256,124
cardioid_one_cusp,high,8,1555401.472015614,6.191842505631036,256,124
cardioid_one_cusp,high,9,1306996.992433997,6.116274588214957,256,124
cardioid_one_cusp,high,10,978641.1952975886,5.990623493167088,256,124
cardioid_one_cusp,high,11,850607.7784494993,5.929729349836093,256,124
cardioid_one_cusp,high,12,669291.3614628833,5.825615219605005,256,124
nephroid_two_cusps,low_nonzero,1,305.3945591015311,2.4848612954144738,256,124
nephroid_two_cusps,low_nonzero,2,415.62019224906163,2.61869663890756,256,124
nephroid_two_cusps,low_nonzero,3,441.438343041873,2.644870052994838,256,124
nephroid_two_cusps,low_nonzero,4,648.3326423758255,2.81179788809498,256,124
nephroid_two_cusps,low_nonzero,5,672.7911673083447,2.8278802812226345,256,124
nephroid_two_cusps,low_nonzero,6,806.2518091114258,2.9064707021378706,256,124
nephroid_two_cusps,low_nonzero,7,872.3439672370667,2.9406877620175407,256,124
nephroid_two_cusps,low_nonzero,8,1055.1783010341487,3.0233258516834685,256,124
nephroid_two_cusps,low_nonzero,9,1087.3098661899332,3.0363533288139637,256,124
nephroid_two_cusps,low_nonzero,10,1280.1741981181854,3.1072690697525864,256,124
nephroid_two_cusps,low_nonzero,11,1295.9450523808289,3.112586587990058,256,124
nephroid_two_cusps,low_nonzero,12,1497.661329821045,3.1754136162881856,256,124
nephroid_two_cusps,high,1,12628389.443750076,7.101347966525827,256,124
nephroid_two_cusps,high,2,12628389.279930525,7.101347960892019,256,124
nephroid_two_cusps,high,3,4646186.063829945,6.6670965978181975,256,124
nephroid_two_cusps,high,4,4645487.109670774,6.667031259330858,256,124
nephroid_two_cusps,high,5,2556774.834685386,6.4076924830676205,256,124
nephroid_two_cusps,high,6,2556774.662708168,6.407692453855521,256,124
nephroid_two_cusps,high,7,1260140.5408211055,6.100418983767839,256,124
nephroid_two_cusps,high,8,1259734.0164500573,6.100278856718952,256,124
nephroid_two_cusps,high,9,904179.3611903171,5.956254589600005,256,124
nephroid_two_cusps,high,10,904179.2112641693,5.956254517587629,256,124
nephroid_two_cusps,high,11,557724.5915982374,5.746419794141834,256,124
nephroid_two_cusps,high,12,557453.5577578861,5.746208691541484,256,124
astroid_four_cusps,low_nonzero,1,440.71497274619765,2.6441578053785206,256,124
astroid_four_cusps,low_nonzero,2,550.3562353935495,2.740643891283457,256,124
astroid_four_cusps,low_nonzero,3,741.4819977782038,2.87010061138531,256,124
astroid_four_cusps,low_nonzero,4,779.1726465812426,2.8916336979165767,256,124
astroid_four_cusps,low_nonzero,5,809.5116697486783,2.9082231138317343,256,124
astroid_four_cusps,low_nonzero,6,998.3298717555277,2.999274066149161,256,124
astroid_four_cusps,low_nonzero,7,1047.7364151587844,3.0202520385253755,256,124
astroid_four_cusps,low_nonzero,8,1195.52968745851,3.077560365009995,256,124
astroid_four_cusps,low_nonzero,9,1243.4928620874177,3.0946432966707365,256,124
astroid_four_cusps,low_nonzero,10,1449.1130670057796,3.161102272607794,256,124
astroid_four_cusps,low_nonzero,11,1527.7019471611109,3.184038632165402,256,124
astroid_four_cusps,low_nonzero,12,1668.9855574286921,3.2224525785269624,256,124
astroid_four_cusps,high,1,3163953.4953713273,6.5002300914969275,256,124
astroid_four_cusps,high,2,3163953.12672028,6.5002300408946905,256,124
astroid_four_cusps,high,3,3163953.1267202753,6.50023004089469,256,124
astroid_four_cusps,high,4,3163952.8398208157,6.500230001513937,256,124
astroid_four_cusps,high,5,1166043.0432510346,6.066714582242359,256,124
astroid_four_cusps,high,6,1165867.3191248884,6.066649128595686,256,124
astroid_four_cusps,high,7,1165867.3191248833,6.066649128595684,256,124
astroid_four_cusps,high,8,1165341.031164615,6.066453038048143,256,124
astroid_four_cusps,high,9,641552.6508446962,5.807232303786572,256,124
astroid_four_cusps,high,10,641552.2642215651,5.807232042064727,256,124
astroid_four_cusps,high,11,641552.2642215615,5.807232042064725,256,124
astroid_four_cusps,high,12,641551.9628414904,5.807231838047469,256,124
joukowski_airfoil,low_nonzero,1,539.7307082189624,2.7321771281460863,256,124
joukowski_airfoil,low_nonzero,2,680.9141196025258,2.833092339908825,256,124
joukowski_airfoil,low_nonzero,3,839.2434584914961,2.923887964811777,256,124
joukowski_airfoil,low_nonzero,4,919.0423260969833,2.9633355130912977,256,124
joukowski_airfoil,low_nonzero,5,1205.722681177407,3.0812474306202002,256,124
joukowski_airfoil,low_nonzero,6,1458.918056432008,3.164030899406255,256,124
joukowski_airfoil,low_nonzero,7,1734.2925261383846,3.2391223525247774,256,124
joukowski_airfoil,low_nonzero,8,1997.0175784551234,3.3003818877011786,256,124
