operator,n_meridian,n_theta,n_nodes,degree,order,eigenvalue,continuum_target,dtn_target,relative_error_to_continuum,relative_error_to_dtn,relative_residual_to_continuum,batch_apply_ms,dense_matrix_stored
inverse_cube_raw,8,16,128,5,3,3.6075651333908123,5.0,5.0,0.2784869733218375,0.2784869733218375,0.30033120479528364,1.2606250093085691,False
inverse_cube_raw,8,16,128,5,4,3.4753716385972218,5.0,5.0,0.30492567228055567,0.30492567228055567,0.3113517490562907,1.2606250093085691,False
inverse_cube_raw,8,16,128,5,5,3.285788402658473,5.0,5.0,0.3428423194683054,0.3428423194683054,0.3439945783399554,1.2606250093085691,False
inverse_cube_raw,8,16,128,6,0,3.320514225560846,6.0,6.0,0.4465809624065256,0.4465809624065256,0.4474960243151034,1.2606250093085691,False
inverse_cube_raw,8,16,128,6,1,4.4917666232384095,6.0,6.0,0.2513722294602651,0.2513722294602651,0.37357359934722234,1.2606250093085691,False
inverse_cube_raw,8,16,128,6,2,4.073147200882714,6.0,6.0,0.3211421331862144,0.3211421331862144,0.43485135647309925,1.2606250093085691,False
inverse_cube_raw,8,16,128,6,3,4.1291374813247,6.0,6.0,0.31181041977921664,0.31181041977921664,0.34224235050900825,1.2606250093085691,False
inverse_cube_raw,8,16,128,6,4,3.9958094225366767,6.0,6.0,0.33403176291055386,0.33403176291055386,0.3466230457427776,1.2606250093085691,False
inverse_cube_raw,8,16,128,6,5,3.824208901581647,6.0,6.0,0.3626318497363921,0.3626318497363921,0.3660365994128419,1.2606250093085691,False
inverse_cube_raw,8,16,128,6,6,3.5770978667672746,6.0,6.0,0.40381702220545423,0.40381702220545423,0.40441047712707295,1.2606250093085691,False
inverse_cube_tangent_repaid,8,16,128,1,0,0.9729595497954304,1.0,1.0,0.027040450204569577,0.027040450204569577,0.03121097983504807,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,1,1,1.0092315079949028,1.0,1.0,0.009231507994902799,0.009231507994902799,0.17905561045129487,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,2,0,1.8876412973270071,2.0,2.0,0.05617935133649643,0.05617935133649643,0.06171179928801782,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,2,1,2.0269209522935947,2.0,2.0,0.013460476146797351,0.013460476146797351,0.19594729857810625,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,2,2,1.9705096906074278,2.0,2.0,0.014745154696286122,0.014745154696286122,0.061358168882129235,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,3,0,2.7227600864419825,3.0,3.0,0.09241330451933916,0.09241330451933916,0.09856925648285089,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,3,1,3.018496476654458,3.0,3.0,0.006165492218152657,0.006165492218152657,0.21320125592491748,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,3,2,2.9555586794460447,3.0,3.0,0.01481377351798511,0.01481377351798511,0.10439039879843814,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,3,3,2.892039241997578,3.0,3.0,0.035986919334140666,0.035986919334140666,0.043406621467041905,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,4,0,3.4423314733057055,4.0,4.0,0.1394171316735736,0.1394171316735736,0.1459848681835476,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,4,1,3.959354425249534,4.0,4.0,0.010161393687616482,0.010161393687616482,0.2277680280589927,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,4,2,3.8830945873822387,4.0,4.0,0.029226353154440332,0.029226353154440332,0.15477023571031165,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,4,3,3.863132103546062,4.0,4.0,0.034216974113484455,0.034216974113484455,0.06022305708811357,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,4,4,3.731107757653586,4.0,4.0,0.06722306058660354,0.06722306058660354,0.06885258698290542,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,5,0,4.0105935897022995,5.0,5.0,0.1978812820595401,0.1978812820595401,0.2038898482826371,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,5,1,4.828714708690835,5.0,5.0,0.034257058261833076,0.034257058261833076,0.2399837322409623,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,5,2,4.709917988927527,5.0,5.0,0.058016402214494535,0.058016402214494535,0.21465810072405447,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,5,3,4.766998359389372,5.0,5.0,0.04660032812212567,0.04660032812212567,0.09201868877658166,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,5,4,4.685086380575371,5.0,5.0,0.06298272388492573,0.06298272388492573,0.07313211796126723,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,5,5,4.4451433319145925,5.0,5.0,0.11097133361708149,0.11097133361708149,0.11125224961303126,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,6,0,4.391684069527697,6.0,6.0,0.2680526550787172,0.2680526550787172,0.2728463907339086,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,6,1,5.658192196813705,6.0,6.0,0.05696796719771576,0.05696796719771576,0.24732458596507068,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,6,2,5.368947592889155,6.0,6.0,0.10517540118514083,0.10517540118514083,0.28685116926341947,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,6,3,5.57784566698871,6.0,6.0,0.0703590555018816,0.0703590555018816,0.1308991328875431,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,6,4,5.551005498145531,6.0,6.0,0.07483241697574483,0.07483241697574483,0.10119789376689607,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,6,5,5.381529360629279,6.0,6.0,0.10307843989512018,0.10307843989512018,0.10633188311765188,1.658875000430271,False
inverse_cube_tangent_repaid,8,16,128,6,6,4.9920130309173585,6.0,6.0,0.16799782818044026,0.16799782818044026,0.16802846363432158,1.658875000430271,False
inverse_square_control,16,32,512,1,0,0.9968674745887777,1.0,1.0,0.003132525411222331,0.003132525411222331,0.0031350085337512558,7.448666990967467,False
inverse_square_control,16,32,512,1,1,1.0003756828164898,1.0,1.0,0.0003756828164898085,0.0003756828164898085,0.008994806583347576,7.448666990967467,False
inverse_square_control,16,32,512,2,0,1.4904230223508907,1.5,2.0,0.006384651766072835,0.2547884888245546,0.007326997432572746,7.448666990967467,False
inverse_square_control,16,32,512,2,1,1.4981111289538904,1.5,2.0,0.00125924736407305,0.2509444355230548,0.01279723024171208,7.448666990967467,False
inverse_square_control,16,32,512,2,2,1.4946851286933136,1.5,2.0,0.0035432475377909314,0.2526574356533432,0.0053086191286298495,7.448666990967467,False
inverse_square_control,16,32,512,3,0,1.8141851317941502,1.8333333333333333,3.0,0.010444473566827126,0.39527162273528327,0.010984645028764364,7.448666990967467,False
inverse_square_control,16,32,512,3,1,1.8262065903730333,1.8333333333333333,3.0,0.0038873143419817717,0.39126446987565555,0.017265637765291733,7.448666990967467,False
inverse_square_control,16,32,512,3,2,1.823685556717088,1.8333333333333333,3.0,0.005262423608861058,0.39210481442763734,0.008667006373011772,7.448666990967467,False
inverse_square_control,16,32,512,3,3,1.8195428205605295,1.8333333333333333,3.0,0.007522097876074769,0.3934857264798235,0.008255693656201319,7.448666990967467,False
inverse_square_control,16,32,512,4,0,2.0512715215926116,2.0833333333333335,4.0,0.015389669635546496,0.4871821196018471,0.01643574623761148,7.448666990967467,False
inverse_square_control,16,32,512,4,1,2.068066981551962,2.0833333333333335,4.0,0.007327848855058362,0.4829832546120095,0.022241560887837478,7.448666990967467,False
inverse_square_control,16,32,512,4,2,2.0664576465187214,2.0833333333333335,4.0,0.00810032967101378,0.48338558837031964,0.013032572617856331,7.448666990967467,False
inverse_square_control,16,32,512,4,3,2.063763683169721,2.0833333333333335,4.0,0.009393432078533976,0.48405907920756974,0.011232953735440277,7.448666990967467,False
inverse_square_control,16,32,512,4,4,2.0580218134831023,2.0833333333333335,4.0,0.01214952952811096,0.4854945466292244,0.01260257013295868,7.448666990967467,False
inverse_square_control,16,32,512,5,0,2.235021419494141,2.283333333333333,5.0,0.0211585024113251,0.5529957161011718,0.021979526533520248,7.448666990967467,False
inverse_square_control,16,32,512,5,1,2.256918255097299,2.283333333333333,5.0,0.011568647402642704,0.5486163489805402,0.02775213621659048,7.448666990967467,False
