shape,target_kind,panels,corner,interior_angle,lambda,trim,local_delta,zeta_weight,h_lambda
star,edge,48,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.006351670962741862,-0.1816135228676527,0.18899027240859212
star,edge,48,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.08725102497778817,-0.2410472185620165,2.5804784801343726e-05
star,edge,48,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.00517150426519411,-0.1816135228676527,0.18899027240859212
star,edge,48,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.031013542144214562,-0.2410472185620165,2.5804784801343726e-05
star,edge,48,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,-0.01401707385145047,-0.18161352286765617,0.18899027240859206
star,edge,96,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.1250864252239053,-0.2410472185620165,2.5804784801343726e-05
star,edge,96,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.022989899265520225,-0.1816135228676527,0.18899027240859212
star,edge,96,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,-0.0019876311715224682,-0.2410472185620165,2.5804784801343726e-05
star,edge,96,3.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.0021343358405113205,-0.1816135228676527,0.18899027240859212
star,edge,96,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.06970357872774065,-0.2410472185620165,2.5804784801343726e-05
star,edge,96,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.006351670962741848,-0.1816135228676527,0.18899027240859212
star,edge,96,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.0872510249771847,-0.2410472185620165,2.5804784801343726e-05
star,edge,96,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.005171504265194041,-0.1816135228676527,0.18899027240859212
star,edge,96,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.031013542144009094,-0.2410472185620165,2.5804784801343726e-05
star,edge,96,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,-0.014017073851450429,-0.18161352286765617,0.18899027240859206
star,edge,192,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.12508642522390528,-0.2410472185620165,2.5804784801343726e-05
star,edge,192,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.022989899265520364,-0.1816135228676527,0.18899027240859212
star,edge,192,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,-0.0019876311715224804,-0.2410472185620165,2.5804784801343726e-05
star,edge,192,3.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.0021343358405113014,-0.1816135228676527,0.18899027240859212
star,edge,192,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.0697035787277406,-0.2410472185620165,2.5804784801343726e-05
star,edge,192,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.006351670962741848,-0.1816135228676527,0.18899027240859212
star,edge,192,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.08725102497718468,-0.2410472185620165,2.5804784801343726e-05
star,edge,192,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.005171504265194041,-0.1816135228676527,0.18899027240859212
star,edge,192,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.031013542144009122,-0.2410472185620165,2.5804784801343726e-05
star,edge,192,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,-0.014017073851450415,-0.18161352286765617,0.18899027240859206
stealth_double_concave,corner,24,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,0.1416896404396709,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,corner,24,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.0006511137719778237,0.02322808243791865,0.12235938625222843
stealth_double_concave,corner,24,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,-0.2545515116143677,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,corner,24,3.0,4.159094655062397,0.755354930373101,0.0576,-0.00047817614592106025,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,24,4.0,4.159094655062397,0.755354930373101,0.0576,0.001106933146123864,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,24,5.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.031000000973306706,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,corner,24,6.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.00130667778069532,0.02322808243791865,0.12235938625222843
stealth_double_concave,corner,48,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,0.1416896404396826,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,corner,48,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.0006511137719778237,0.02322808243791865,0.12235938625222843
stealth_double_concave,corner,48,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,-0.2545515117846403,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,corner,48,3.0,4.159094655062397,0.755354930373101,0.0576,-0.00047817614592106546,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,48,4.0,4.159094655062397,0.755354930373101,0.0576,0.0011069331461238743,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,48,5.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.031000000996034664,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,corner,48,6.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.0013066777806953478,0.02322808243791865,0.12235938625222843
stealth_double_concave,corner,96,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,0.1416896404396844,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,corner,96,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.0006511137719779625,0.02322808243791865,0.12235938625222843
stealth_double_concave,corner,96,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,-0.2545515117799919,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,corner,96,3.0,4.159094655062397,0.755354930373101,0.0576,-0.000478176145921062,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,96,4.0,4.159094655062397,0.755354930373101,0.0576,0.0011069331461238709,-0.14862657996253834,0.22995932692532584
stealth_double_concave,corner,96,5.0,0.40440437771279525,7.768443732874047,0.14386493665935424,0.031000000995415417,-1705256.3883800507,2.7220959373946324e-07
stealth_double_concave,corner,96,6.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.001306677780695542,0.02322808243791865,0.12235938625222843
stealth_double_concave,corner,192,0.0,0.7610127542247298,4.1281734585253345,0.16478604309831585,0.1416896404396846,-0.024469532314242315,0.0003245552968548694
stealth_double_concave,corner,192,1.0,2.9099762240869254,1.0795939250588011,0.16478604309831585,0.0006511137719777682,0.02322808243791865,0.12235938625222843
stealth_double_concave,corner,192,2.0,0.40440437771279525,7.768443732874047,0.14386493665935424,-0.25455151177999225,-1705256.3883800507,2.7220959373946324e-07
