shape,family,problem,n,mode,generated_q_residual,continuum_rel_error,raw_cycle_diagnostic_rel_error,shared_circle_solve_ms,shape_pullback_ms,shape_repay_ms,standalone_shape_pde_ms,batched_problem_shape_ms,full_suite_amortized_ms,timing_scope,transport,work_model,dense_q_matrix_stored
gww_left_smooth_surrogate,gww_pair_surrogate,helmholtz,2048,7,2.2906997359088107e-15,2.2906997359088107e-15,0.009470077622542048,5.167790921404958,0.9235839825123549,1.2609580298885703,7.352332933805883,2.3998666341261314,1.660999448116248,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_left_smooth_surrogate,gww_pair_surrogate,wave,2048,7,2.2974230679848158e-15,2.2974230679848158e-15,0.006003256717903011,5.142082925885916,0.9235839825123549,1.355833956040442,7.421500864438713,2.493671393798043,1.7548042077881596,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_right_smooth_surrogate,gww_pair_surrogate,laplace_dtn,2048,7,1.0910085989820098e-13,1.0910085989820098e-13,0.0034296913277808163,5.1466659642755985,0.9293750626966357,1.3010000111535192,7.377041038125753,2.444819489028305,1.7013194388709962,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_right_smooth_surrogate,gww_pair_surrogate,heat,2048,7,2.2444750355356096e-15,2.2444750355356096e-15,0.00405912221449482,5.113458959385753,0.9293750626966357,1.3455830048769712,7.38841702695936,2.4880188575480133,1.7445188073907048,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_right_smooth_surrogate,gww_pair_surrogate,poisson,2048,7,2.609523245475905e-15,2.609523245475905e-15,0.003255208333333194,5.066291894763708,0.9293750626966357,1.3296670513227582,7.325334008783102,2.4701376096345484,1.7266375594772398,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_right_smooth_surrogate,gww_pair_surrogate,helmholtz,2048,7,3.741513334307732e-15,3.741513334307732e-15,0.009470077622542076,5.167790921404958,0.9293750626966357,1.2788750464096665,7.37604103051126,2.4235747308315085,1.6800746806742004,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
gww_right_smooth_surrogate,gww_pair_surrogate,wave,2048,7,3.5244420609753758e-15,3.5244420609753758e-15,0.006003256717902999,5.142082925885916,0.9293750626966357,1.361957984045148,7.433415972627699,2.50558650198703,1.7620864518297217,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
asymmetric_boomerang,deep_nonconvex_smooth,laplace_dtn,2048,7,7.330420194391725e-14,7.330420194391725e-14,0.003429691327780513,5.1466659642755985,0.9440840221941471,1.293417066335678,7.384167052805424,2.451945503707975,1.6966782859526575,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
asymmetric_boomerang,deep_nonconvex_smooth,heat,2048,7,1.255086654387631e-15,1.255086654387631e-15,0.004059122214494797,5.113458959385753,0.9440840221941471,1.3217499945312738,7.379292976111174,2.4788948066998273,1.7236275889445096,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
asymmetric_boomerang,deep_nonconvex_smooth,poisson,2048,7,1.7272525178056851e-15,1.7272525178056851e-15,0.0032552083333332376,5.066291894763708,0.9440840221941471,1.2861250434070826,7.296500960364938,2.441304561216384,1.6860373434610665,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
asymmetric_boomerang,deep_nonconvex_smooth,helmholtz,2048,7,2.3273936330541396e-15,2.3273936330541396e-15,0.009470077622542344,5.167790921404958,0.9440840221941471,1.2759160017594695,7.387790945358574,2.435324645678823,1.6800574279235057,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
asymmetric_boomerang,deep_nonconvex_smooth,wave,2048,7,2.4349480723839146e-15,2.4349480723839146e-15,0.006003256717903014,5.142082925885916,0.9440840221941471,1.3620000099763274,7.44816695805639,2.5203374874157207,1.7650702696604035,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
multi_notch_rounded_polygon,multi_corner_surrogate,laplace_dtn,2048,7,5.927063288650574e-14,5.927063288650574e-14,0.003429691327780031,5.1466659642755985,0.9320410899817944,1.273707952350378,7.352415006607771,2.4201934575103223,1.6745605855248868,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
multi_notch_rounded_polygon,multi_corner_surrogate,heat,2048,7,1.1858896878153752e-15,1.1858896878153752e-15,0.004059122214494727,5.113458959385753,0.9320410899817944,1.3404169585555792,7.385917007923126,2.48551883851178,1.7398859665263444,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
multi_notch_rounded_polygon,multi_corner_surrogate,poisson,2048,7,1.502885197478763e-15,1.502885197478763e-15,0.0032552083333336956,5.066291894763708,0.9320410899817944,1.3172079343348742,7.315540919080377,2.460344519931823,1.7147116479463875,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
multi_notch_rounded_polygon,multi_corner_surrogate,helmholtz,2048,7,1.8186780609250145e-15,1.8186780609250145e-15,0.009470077622541742,5.167790921404958,0.9320410899817944,1.2680420186370611,7.367874030023813,2.4154077303440618,1.6697748583586267,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
multi_notch_rounded_polygon,multi_corner_surrogate,wave,2048,7,1.970050894514964e-15,1.970050894514964e-15,0.006003256717903016,5.142082925885916,0.9320410899817944,1.3366660568863153,7.4107900727540255,2.482960602113356,1.7373277301279209,circle_solve_shared_across_shapes,conformal_metric_repayment_with_endpoint_repaid_symbol,custom_fft_O_n_log_n_plus_diagonal_metric_repayment,False
