kind,channel,rung,kondratiev_exponent,compiled_reference_order,independent_reference_order,raw_absolute_error,repaid_absolute_error,reference_disagreement,support_nodes
edge,edge_16,1,2.0,12,16,0.023001376971405474,1.1102230246251565e-16,1.1102230246251565e-16,18
edge,edge_16,2,2.0,12,16,0.02545255288500664,6.106226635438361e-16,6.106226635438361e-16,18
edge,edge_16,3,2.0,12,16,0.023286339711635906,2.220446049250313e-16,2.220446049250313e-16,18
edge,edge_17,0,2.0,12,16,0.029032378009734017,5.551115123125783e-16,5.551115123125783e-16,18
edge,edge_17,1,2.0,12,16,0.03687595506437724,5.551115123125783e-17,5.551115123125783e-17,18
edge,edge_17,2,2.0,12,16,0.03343755909290211,4.440892098500626e-16,4.440892098500626e-16,18
edge,edge_17,3,2.0,12,16,0.025449709630884,2.220446049250313e-16,2.220446049250313e-16,18
vertex,vertex_0,0,3.036736807078534,12,16,0.000123300175961627,1.7565588711354607e-07,1.7565588711354607e-07,45
vertex,vertex_0,1,3.036736807078534,12,16,0.0013626838327470692,1.8369863441503043e-07,1.8369863441503043e-07,45
vertex,vertex_0,2,3.036736807078534,12,16,0.0008617678249649707,1.907557840574725e-07,1.907557840574725e-07,45
vertex,vertex_0,3,3.036736807078534,12,16,4.907831325751122e-05,1.9800733999653097e-07,1.9800733999653097e-07,45
vertex,vertex_1,0,3.036736807078534,12,16,0.0002611470119336379,8.773367288217315e-08,8.7733672826662e-08,36
vertex,vertex_1,1,3.036736807078534,12,16,0.0006825609287004208,9.186505647851284e-08,9.186505647851284e-08,36
vertex,vertex_1,2,3.036736807078534,12,16,0.00031417940445772896,9.53777432033398e-08,9.53777432033398e-08,36
vertex,vertex_1,3,3.036736807078534,12,16,5.076587891558737e-05,9.900378258875797e-08,9.900378258875797e-08,36
vertex,vertex_2,0,3.0367368070785346,12,16,3.155187984638097e-05,2.8923572298333866e-07,2.8923572298333866e-07,45
vertex,vertex_2,1,3.0367368070785346,12,16,0.00016174729042006675,2.686128804385568e-07,2.686128804385568e-07,45
vertex,vertex_2,2,3.0367368070785346,12,16,0.0007973566557987477,2.47439949668804e-07,2.47439949668804e-07,45
vertex,vertex_2,3,3.0367368070785346,12,16,0.0011320931505018478,2.2500149678139625e-07,2.2500149678139625e-07,45
vertex,vertex_3,0,3.036736807078534,12,16,0.00025553174841042026,8.79322174518471e-08,8.79322174518471e-08,36
vertex,vertex_3,1,3.036736807078534,12,16,0.0004185185342015507,9.184744437229497e-08,9.184744437229497e-08,36
vertex,vertex_3,2,3.036736807078534,12,16,0.00043600270455261547,9.537800906012084e-08,9.537800906012084e-08,36
vertex,vertex_3,3,3.036736807078534,12,16,0.00018838457737409275,9.900364354026303e-08,9.900364354026303e-08,36
vertex,vertex_4,0,3.036736807078535,12,16,0.000485126880497011,2.8943426716443454e-07,2.8943426716443454e-07,45
vertex,vertex_4,1,3.036736807078535,12,16,0.00010229510407869236,2.685952680270276e-07,2.685952680270276e-07,45
vertex,vertex_4,2,3.036736807078535,12,16,0.000919179955893551,2.474402155672184e-07,2.474402155672184e-07,45
vertex,vertex_4,3,3.036736807078535,12,16,0.0013712436067913475,2.250013579757626e-07,2.250013579757626e-07,45
vertex,vertex_5,0,3.036736807078535,12,16,0.0014720728486961598,3.1379096948058738e-06,3.1379096948058738e-06,36
vertex,vertex_5,1,3.036736807078535,12,16,5.675024610038437e-05,3.1981344735809714e-06,3.1981344735809714e-06,36
vertex,vertex_5,2,3.036736807078535,12,16,0.0012024000828854964,3.2452211960048993e-06,3.2452211960048993e-06,36
vertex,vertex_5,3,3.036736807078535,12,16,0.0016790802156494214,3.2777927998009493e-06,3.2777927998009493e-06,36
vertex,vertex_6,0,3.036736807078535,12,16,0.0031077918923224646,6.275827973578618e-06,6.275827973578618e-06,45
vertex,vertex_6,1,3.036736807078535,12,16,0.0005773809982362599,6.396287976190296e-06,6.396287976190296e-06,45
vertex,vertex_6,2,3.036736807078535,12,16,0.0020729683007569832,6.4904423150435875e-06,6.4904423150435875e-06,45
vertex,vertex_6,3,3.036736807078535,12,16,0.0033542861289457965,6.555585747067272e-06,6.555585747067272e-06,45
vertex,vertex_7,0,3.036736807078535,12,16,0.002185666142007825,3.138160075188967e-06,3.138160075188967e-06,36
vertex,vertex_7,1,3.036736807078535,12,16,0.0005907551779581466,3.1981102467104616e-06,3.1981102467104616e-06,36
vertex,vertex_7,2,3.036736807078535,12,16,0.0012310941617427323,3.2452216486289487e-06,3.2452216486289487e-06,36
vertex,vertex_7,3,3.036736807078535,12,16,0.001995031470824901,3.2777925652524575e-06,3.2777925652524575e-06,36
